index,commentaire,cache_hit,parse_ok,error,theme,sub_theme,severity,main_issue,recommended_action,confidence,contact_id,id_profil,id_conseiller,date_contact
0,"on donne toutes les infos à l’engagement et immédiatement on vous redemande la même chose par sms et mail.  
Ceci crée le doute, l’incertitude et la confusion",False,True,,support client insuffisant,Redondance des demandes d'informations créant confusion et méfiance,3,Demande répétée des mêmes informations par SMS et mail après engagement,Améliorer la coordination interne pour éviter les demandes redondantes,0.9,49391456,20596135,135088.0,2025-10-19
8,"Je ne sais pas comment je serai facturé pour mes abonnements, et je n'arrive pas à comprendre pourquoi je dois payer des frais d'installation.",False,True,,tarification,Manque de clarté sur la facturation et frais d'installation,4,Incompréhension sur la facturation des abonnements et frais d'installation,Clarifier et détailler les informations tarifaires dès la souscription,0.95,49386780,11019880,135088.0,2025-10-19
14,Seriez mieux de pouvoir directement prendre le répéteur. Les frais de 49€ si pas d'abonnement antérieur me paraissent peu justifiable.,False,True,,tarification,Frais supplémentaires non justifiés pour les nouveaux clients sans abonnement antérieur,3,Frais de 49€ pour répéteur jugés peu justifiés sans abonnement antérieur,Revoir la politique tarifaire pour les nouveaux clients sans abonnement,0.9,49382399,76422742,135088.0,2025-10-19
17,"Gros manque d'information  
Sur les options  
Je suis sur le point d'annuler la transaction  
Les frais de résiliation  
Les frais pour la mise en service  
Sans compter sur le matériel en plus",False,True,,support client insuffisant,"Manque d'information sur options, frais et matériel entraînant frustration",4,"Insuffisance d'informations sur options, frais de résiliation et matériel",Fournir des informations complètes et transparentes avant la transaction,0.95,49378460,54803689,135088.0,2025-10-19
27,"C'est fou de préférer perdre des clients fidèles plutôt que de faire une offre satisfaisante.  
Je suis très remontée.",False,True,,churn,Offres insatisfaisantes poussant à la perte de clients fidèles,4,Perte de clients fidèles due à des offres non satisfaisantes,Proposer des offres adaptées pour fidéliser les clients,0.9,49024861,31471514,0.0,2025-10-13
28,"J'attends toujours mon dédommagement car je n'ai pas d'internet.  
Je ne trouve pas de différence au niveau des ascendants et descendants du débit internet par rapport à mai 2025.  
Tout ce travail, pas internet, pas de Wi-Fi, je ne peux même pas être en contact au niveau visio avec mon médecin traitant. Pas de traitement médical.  
Je suis assez en colère, alors que la société AB VIDEOCOM avait terminé leur travail le vendredi 10 octobre 2025 vers 17h.",False,True,,probleme d'internet,"Absence d'internet malgré intervention technique, impactant la vie quotidienne",5,Pas d'accès internet malgré intervention technique terminée,Accélérer la résolution des pannes et compenser les clients impactés,0.95,49024795,47741035,0.0,2025-10-13
38,Malgré les appréciations positives je ne mets que 3 étoiles car la panne est survenue vendredi à 10h15 et pas d'intervention avant le lundi matin !! Je précise que nous étions 2 en télétravail vendredi donc 1 jour de congés retiré d'office par l'employeur...,False,True,,service technique,Délai d'intervention trop long après panne impactant le télétravail,4,Intervention technique retardée après panne survenue un vendredi,"Réduire les délais d'intervention, notamment en télétravail",0.9,49024635,69394133,0.0,2025-10-13
53,Manque de sérieux et non respect des engagements de Free lors de la souscription de l'abonnement,False,True,,support client insuffisant,Non respect des engagements contractuels créant insatisfaction,4,Manque de sérieux et non respect des engagements lors de la souscription,Renforcer le respect des engagements contractuels,0.9,49024089,55814123,0.0,2025-10-13
55,Le problème n'est toujours pas résolu.,False,True,,service technique,Problème technique non résolu malgré les démarches,4,Problème technique persistant non résolu,Améliorer le suivi et la résolution des problèmes techniques,0.9,49023942,90060894,0.0,2025-10-13
60,"Échanges nuls par mail.  
Avant, en manipulant directement avec l'opérateur au téléphone, ça allait 100 fois plus vite, et c'était beaucoup plus simple.  
Tout le monde n'est pas né avec un ordi dans la main.",False,True,,support client insuffisant,"Communication inefficace par mail, préférences pour contact téléphonique",3,Échanges par mail jugés inefficaces et lents,Favoriser le contact téléphonique pour une meilleure réactivité,0.9,49023830,81207835,0.0,2025-10-13
66,Au moins auparavant on pouvait dialoguer par oral avec un conseiller alors que là on est face à des personnes qui ne sont pas à l'écoute du client.,False,True,,support client insuffisant,Manque d'écoute des conseillers en contact client,3,Absence d'écoute des conseillers au téléphone,Former les conseillers à l'écoute active,0.9,49023700,25965699,0.0,2025-10-13
73,Service Nul .. j'ai résilié mon abonnement,False,True,,churn,Résiliation suite à insatisfaction du service,4,Résiliation de l'abonnement due à un service jugé nul,Améliorer la qualité du service pour limiter les résiliations,0.95,49023463,58938495,0.0,2025-10-13
78,"Fidèle client Free depuis les tous débuts, je pensais que j'aurais pu obtenir satisfaction maintenant que mon épouse et moi sommes à la retraite avec beaucoup moins de moyens. J'aurais juste désiré migrer vers une offre plus économique, mais votre conseillère m'a simplement dit que c'est impossible de changer de Freebox Pop pour une offre moins chère ; par contre, je peux dans l'autre sens : pour une box plus chère, là il n'y a pas de problème, on m'accueille les bras ouverts. On ne comprend pas chez Free qu'à certains moments de la vie il faut faire des choix. Du coup, ça me complique bien la vie : j'ai tout chez vous — internet, télé, mobiles...",False,True,,tarification,Impossibilité de migrer vers une offre moins chère pour clients fidèles,4,Blocage à la migration vers une offre plus économique,Permettre la migration vers des offres adaptées aux besoins et budgets,0.9,49022894,95347684,0.0,2025-10-13
82,"Pas du tout professionnel de prélever l’abonnement du mois d’après pour les clients qui ont résilié le mois d’avant et de ne PAS REMBOURSER !!!!! je ne recommanderais à personne d’aller chez Free, je vais en faire part à 60 Millions de Consommateurs.",False,True,,tarification,Prélèvement injustifié après résiliation sans remboursement,5,Prélèvement d'abonnement après résiliation sans remboursement,Mettre en place un processus de remboursement clair et rapide,0.95,49022684,28539442,0.0,2025-10-13
86,Les collaborateurs en magasin en personne m'ont garanti que rétablir les tarifs préférentiels après un déménagement était une demande régulièrement faite et que par le futur les tarifs ne sauteront plus car il y a toujours ce type de demande. Ce n'est sûrement pas faute de la personne répondant à ma demande mais il devient attrayant de changer d'opérateur car je me sens dupé d'une somme importante pour rien.,False,True,,tarification,Perte des tarifs préférentiels après déménagement créant frustration,4,Tarifs préférentiels non rétablis après déménagement,Assurer la continuité des tarifs préférentiels lors de déménagements,0.9,49022579,17841904,0.0,2025-10-13
87,"Bonjour en effet la ligne a été rétablie mais plutôt tardivement depuis la première demande il a fallu que je rappelle aller en boutique on m'a dit que le pb venait d'Orange alors que pas certain et plus rien, trop d'incertitudes. Par ailleurs, le fils de la fibre a été laissé en suspend sur la barrière et le long du mur, c'est pour cela qu'il a été endommagé ; vous ne prévoyez pas de protection ? Je reste fidèle à Free, mais moins convaincu. Rien à redire sur la gentillesse.",False,True,,service technique,Problème technique mal géré avec incertitudes et matériel endommagé,4,Délai tardif de rétablissement et matériel mal protégé causant dommage,Améliorer la gestion des interventions et la protection du matériel,0.9,49022592,89398719,0.0,2025-10-13
88,"Échanges par chat très fastidieux  
J'ai eu du mal à être rappelée au téléphone",False,True,,support client insuffisant,Difficultés à obtenir un rappel téléphonique via chat,3,Échanges par chat fastidieux et difficulté à être rappelé,Optimiser le système de rappel client,0.85,49022595,71681515,0.0,2025-10-13
92,"Le service est catastrophique, c'est vraiment dommage que vous ayez l'exclusivité sur mon immeuble car sinon je vous aurais déjà quitté.  
Je vais conseiller à tous mes proches et mon entourage de ne jamais mettre un pied chez vous car c'est n'importe quoi.",False,True,,churn,Insatisfaction poussant à envisager un changement d'opérateur,4,Service catastrophique incitant à quitter l'opérateur,Améliorer la qualité du service pour retenir les clients,0.9,49022558,69773960,0.0,2025-10-13
