contact_id,id_profil,id_conseiller,date_contact,csat,nps,nom_departement,nom_region,du_societe_label,canal,offer_label,commentaire,nps_num,csat_num,dominant_topic,topic_probability
49391456,20596135,135088.0,2025-10-19,3,6,\N,\N,\N,,24: Freebox Pop | 39.99€,"on donne toutes les infos à l’engagement et immédiatement on vous redemande la même chose par sms et mail.  
Ceci crée le doute, l’incertitude et la confusion",6.0,3,5,0.9124603459973955
49386780,11019880,135088.0,2025-10-19,1,5,\N,\N,\N,,28: Série Spéciale Freebox Pop S | 23.99€,"Je ne sais pas comment je serai facturé pour mes abonnements, et je n'arrive pas à comprendre pourquoi je dois payer des frais d'installation.",5.0,1,6,0.6083248902704887
49382399,76422742,135088.0,2025-10-19,3,5,\N,\N,\N,,28: Série Spéciale Freebox Pop S | 23.99€,Seriez mieux de pouvoir directement prendre le répéteur. Les frais de 49€ si pas d'abonnement antérieur me paraissent peu justifiable.,5.0,3,3,0.6469085396669728
49378460,54803689,135088.0,2025-10-19,2,0,\N,\N,\N,,31: Freebox Ultra avec Player TV Free 4K | 59.99€,"Gros manque d'information  
Sur les options  
Je suis sur le point d'annuler la transaction  
Les frais de résiliation  
Les frais pour la mise en service  
Sans compter sur le matériel en plus",0.0,2,1,0.5061458571855959
49024861,31471514,0.0,2025-10-13,1,0,\N,\N,\N,,26: Freebox Delta avec Player TV Free 4K | 49.99€,"C'est fou de préférer perdre des clients fidèles plutôt que de faire une offre satisfaisante.  
Je suis très remontée.",0.0,1,1,0.7319217376168835
49024795,47741035,0.0,2025-10-13,1,1,\N,\N,\N,,24: Freebox Pop | 39.99€,"J'attends toujours mon dédommagement car je n'ai pas d'internet.  
Je ne trouve pas de différence au niveau des ascendants et descendants du débit internet par rapport à mai 2025.  
Tout ce travail, pas internet, pas de Wi-Fi, je ne peux même pas être en contact au niveau visio avec mon médecin traitant. Pas de traitement médical.  
Je suis assez en colère, alors que la société AB VIDEOCOM avait terminé leur travail le vendredi 10 octobre 2025 vers 17h.",1.0,1,2,0.6730994356964612
49024635,69394133,0.0,2025-10-13,3,5,\N,\N,\N,,26: Freebox Delta avec Player TV Free 4K | 49.99€,Malgré les appréciations positives je ne mets que 3 étoiles car la panne est survenue vendredi à 10h15 et pas d'intervention avant le lundi matin !! Je précise que nous étions 2 en télétravail vendredi donc 1 jour de congés retiré d'office par l'employeur...,5.0,3,7,0.7130462142066618
49024089,55814123,0.0,2025-10-13,1,0,\N,\N,\N,,24: Freebox Pop | 39.99€,Manque de sérieux et non respect des engagements de Free lors de la souscription de l'abonnement,0.0,1,5,0.603014358942885
49023942,90060894,0.0,2025-10-13,1,0,\N,\N,\N,,41: Freebox Ultra Essentiel avec Player TV Free 4K | 49.99€,Le problème n'est toujours pas résolu.,0.0,1,2,0.7083191244413463
49023830,81207835,0.0,2025-10-13,3,5,\N,\N,\N,,10: Freebox mini 4K | 29.99€,"Échanges nuls par mail.  
Avant, en manipulant directement avec l'opérateur au téléphone, ça allait 100 fois plus vite, et c'était beaucoup plus simple.  
Tout le monde n'est pas né avec un ordi dans la main.",5.0,3,0,0.5159091976565523
49023700,25965699,0.0,2025-10-13,1,0,\N,\N,\N,,24: Freebox Pop | 39.99€,Au moins auparavant on pouvait dialoguer par oral avec un conseiller alors que là on est face à des personnes qui ne sont pas à l'écoute du client.,0.0,1,6,0.6143737579179731
49023463,58938495,0.0,2025-10-13,1,0,\N,\N,\N,,,Service Nul .. j'ai résilié mon abonnement,0.0,1,1,0.5312101867261212
49022894,95347684,0.0,2025-10-13,3,0,\N,\N,\N,,25: Freebox Pop avec TV by CANAL | 44.99€,"Fidèle client Free depuis les tous débuts, je pensais que j'aurais pu obtenir satisfaction maintenant que mon épouse et moi sommes à la retraite avec beaucoup moins de moyens. J'aurais juste désiré migrer vers une offre plus économique, mais votre conseillère m'a simplement dit que c'est impossible de changer de Freebox Pop pour une offre moins chère ; par contre, je peux dans l'autre sens : pour une box plus chère, là il n'y a pas de problème, on m'accueille les bras ouverts. On ne comprend pas chez Free qu'à certains moments de la vie il faut faire des choix. Du coup, ça me complique bien la vie : j'ai tout chez vous — internet, télé, mobiles...",0.0,3,1,0.620280022354904
49022684,28539442,0.0,2025-10-13,1,0,\N,\N,\N,,,"Pas du tout professionnel de prélever l’abonnement du mois d’après pour les clients qui ont résilié le mois d’avant et de ne PAS REMBOURSER !!!!! je ne recommanderais à personne d’aller chez Free, je vais en faire part à 60 Millions de Consommateurs.",0.0,1,1,0.48352350741396327
49022579,17841904,0.0,2025-10-13,1,0,\N,\N,\N,,40: Freebox Ultra Essentiel sans Player TV | 49.99€,Les collaborateurs en magasin en personne m'ont garanti que rétablir les tarifs préférentiels après un déménagement était une demande régulièrement faite et que par le futur les tarifs ne sauteront plus car il y a toujours ce type de demande. Ce n'est sûrement pas faute de la personne répondant à ma demande mais il devient attrayant de changer d'opérateur car je me sens dupé d'une somme importante pour rien.,0.0,1,1,0.4964190954607132
